batch	source_language	id	type		Biased against Palestine	Biased against Israel	Biased against both Palestine and Israel	Biased against others	Unbiased	Not Applicable	Unclear		Propaganda	Not Propaganda	Not Applicable	Unclear
B03	English	7929	MAIN		0	3	0	1	2	0	0		1	2	0	0
B03	English	8063	MAIN		0	2	0	2	2	0	0		1	2	0	0
B03	English	8118	MAIN		2	0	0	0	3	0	1		1	2	0	0
B03	English	8166	MAIN		0	2	0	1	3	0	0		1	2	0	0
B03	English	8349	MAIN		2	0	0	1	3	0	0		1	2	0	0
B03	English	8543	MAIN		2	1	0	0	3	0	0		1	2	0	0
B03	English	8548	MAIN		2	0	0	1	3	0	0		1	2	0	0
B03	English	8754	MAIN		3	0	0	0	3	0	0		1	2	0	0
B03	English	8767	MAIN		1	0	0	0	5	0	0		0	3	0	0
B03	English	9068	MAIN		2	0	0	1	3	0	0		1	2	0	0
B03	English	10207	MAIN		1	0	0	1	4	0	0		1	2	0	0
B03	English	10467	MAIN		0	0	0	0	3	1	2		0	3	0	0
B03	English	10483	MAIN		0	1	0	0	5	0	0		0	3	0	0
B03	English	11070	MAIN		2	0	0	1	3	0	0		1	2	0	0
B03	English	11073	MAIN		0	3	0	1	2	0	0		1	2	0	0
B03	Arabic	83	MAIN		3	0	0	1	2	0	0		1	2	0	0
B03	Arabic	95	MAIN		1	0	0	1	4	0	0		0	3	0	0
B03	Arabic	96	MAIN		1	1	0	0	3	0	1		1	2	0	0
B03	Arabic	118	MAIN		0	0	0	0	5	0	1		0	3	0	0
B03	Arabic	126	MAIN		0	2	0	0	3	0	1		1	2	0	0
B03	Arabic	139	MAIN		0	1	0	1	3	1	0		1	2	0	0
B03	Arabic	141	MAIN		0	0	0	0	5	0	1		0	3	0	0
B03	Arabic	145	MAIN		2	1	0	0	2	0	1		1	2	0	0
B03	Arabic	149	MAIN		2	2	0	1	1	0	0		1	2	0	0
B03	Arabic	154	MAIN		1	0	0	0	4	0	1		1	2	0	0
B03	Arabic	162	MAIN		2	1	0	1	2	0	0		1	2	0	0
B03	Arabic	240	MAIN		0	2	0	0	3	0	1		1	2	0	0
B03	Arabic	251	MAIN		2	1	0	0	2	0	1		1	2	0	0
B03	Arabic	288	MAIN		5	0	0	0	0	0	1		2	1	0	0
B03	Arabic	298	MAIN		4	0	0	1	1	0	0		2	1	0	0
B03	Arabic	300	MAIN		2	1	0	2	0	0	1		2	1	0	0
B03	Arabic	305	MAIN		1	0	0	0	2	2	1		1	2	0	0
B03	Arabic	321	MAIN		2	1	1	0	1	0	1		1	2	0	0
B03	Arabic	339	MAIN		1	1	0	0	2	1	1		1	2	0	0
B03	Arabic	375	MAIN		2	0	0	0	3	0	1		1	2	0	0
B03	Arabic	416	MAIN		0	3	0	1	2	0	0		1	2	0	0
B03	Arabic	440	MAIN		2	0	1	0	2	0	1		0	3	0	0
B03	Arabic	455	MAIN		3	1	0	1	0	0	1		1	2	0	0
B03	Arabic	479	MAIN		4	0	0	0	1	0	1		1	2	0	0
B03	Arabic	531	MAIN		0	1	0	1	4	0	0		1	2	0	0
B03	Arabic	545	MAIN		1	0	0	2	3	0	0		1	2	0	0
B03	Arabic	560	MAIN		0	1	0	1	4	0	0		1	2	0	0
B03	Arabic	569	MAIN		0	1	0	1	4	0	0		0	3	0	0
B03	Arabic	590	MAIN		0	0	2	2	2	0	0		1	2	0	0
B03	Arabic	591	MAIN		1	1	0	1	3	0	0		0	3	0	0
B03	Arabic	596	MAIN		0	0	0	1	4	0	1		0	3	0	0
B03	Arabic	606	MAIN		5	0	0	0	0	0	1		1	2	0	0
B03	Arabic	664	MAIN		4	0	0	1	1	0	0		2	1	0	0
B03	Arabic	665	MAIN		0	3	0	0	2	0	1		1	2	0	0
B03	Arabic	777	MAIN		1	1	0	0	3	0	1		1	2	0	0
B03	Arabic	817	MAIN		0	0	0	0	4	0	2		0	3	0	0
B03	Arabic	826	MAIN		4	0	0	0	1	0	1		2	1	0	0
B03	Arabic	976	MAIN		0	0	0	1	5	0	0		0	3	0	0
B03	Arabic	984	MAIN		0	0	0	0	5	0	1		0	3	0	0
B03	Arabic	988	MAIN		1	1	0	1	2	1	0		1	2	0	0
B03	Arabic	989	MAIN		0	0	0	0	5	0	1		0	3	0	0
B03	Arabic	996	MAIN		0	2	0	1	3	0	0		1	2	0	0
B03	Arabic	1009	MAIN		0	0	0	1	5	0	0		0	3	0	0
B03	Arabic	1010	MAIN		2	0	0	1	3	0	0		1	2	0	0
B03	Arabic	1013	MAIN		0	0	0	0	3	1	2		0	2	1	0
B03	Arabic	1036	MAIN		0	0	0	0	5	0	1		0	3	0	0
B03	Arabic	1041	MAIN		1	3	0	1	1	0	0		1	2	0	0
B03	Arabic	1054	MAIN		2	0	0	0	3	0	1		1	2	0	0
B03	Arabic	1057	MAIN		0	2	0	1	2	1	0		1	1	1	0
B03	Arabic	1059	MAIN		1	0	0	0	4	0	1		1	2	0	0
B03	Arabic	1066	MAIN		1	1	0	2	2	0	0		1	2	0	0
B03	Arabic	1067	MAIN		4	0	0	1	1	0	0		1	2	0	0
B03	Arabic	1072	MAIN		0	0	0	1	5	0	0		0	3	0	0
B03	Arabic	1077	MAIN		1	0	0	0	4	0	1		1	2	0	0
B03	Arabic	1080	MAIN		2	1	0	1	2	0	0		1	2	0	0
B03	Arabic	1085	MAIN		1	1	0	3	1	0	0		1	2	0	0
B03	Arabic	1097	MAIN		2	0	0	1	3	0	0		1	2	0	0
B03	Arabic	1104	MAIN		0	1	0	1	4	0	0		1	2	0	0
B03	Arabic	1107	MAIN		0	2	0	0	3	0	1		1	2	0	0
B03	Arabic	1108	MAIN		0	0	0	0	1	4	1		0	2	1	0
B03	Arabic	1111	MAIN		0	3	0	1	2	0	0		1	2	0	0
B03	Arabic	1113	MAIN		0	0	0	1	3	1	1		1	2	0	0
B03	Arabic	1118	MAIN		0	0	0	0	5	0	1		0	3	0	0
B03	Arabic	1123	MAIN		2	0	0	0	3	0	1		1	2	0	0
B03	Arabic	1125	MAIN		2	0	0	0	3	0	1		1	2	0	0
B03	Arabic	1139	MAIN		0	1	0	1	3	0	1		2	1	0	0
B03	Arabic	1143	MAIN		0	2	0	1	3	0	0		1	2	0	0
B03	Arabic	1144	MAIN		3	0	0	0	2	0	1		1	2	0	0
B03	Arabic	1146	MAIN		0	0	0	1	5	0	0		0	3	0	0
B03	Arabic	1148	MAIN		2	0	0	1	3	0	0		1	2	0	0
B03	Arabic	1151	MAIN		0	0	0	0	5	0	1		1	2	0	0
B03	Arabic	1152	MAIN		0	1	0	2	2	0	1		1	2	0	0
B03	Arabic	1153	MAIN		4	0	0	1	1	0	0		2	1	0	0
B03	Arabic	1156	MAIN		0	1	0	0	4	0	1		0	3	0	0
B03	Arabic	1165	MAIN		1	0	0	0	4	0	1		0	3	0	0
B03	Arabic	1166	MAIN		0	3	0	0	2	0	1		1	2	0	0
B03	Arabic	1234	MAIN		4	0	0	1	1	0	0		2	1	0	0
B03	Arabic	1253	MAIN		3	1	0	0	1	0	1		2	1	0	0
B03	Arabic	1289	MAIN		2	0	0	0	2	0	2		2	1	0	0
B03	Arabic	1352	MAIN		0	0	1	3	2	0	0		2	1	0	0
B03	Arabic	1365	MAIN		3	0	0	0	2	0	1		2	1	0	0
B03	Arabic	1422	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	Arabic	1558	MAIN		4	0	0	1	1	0	0		2	1	0	0
B03	Arabic	1576	MAIN		3	0	0	0	2	0	1		2	1	0	0
B03	Arabic	1686	MAIN		4	0	0	1	1	0	0		2	1	0	0
B03	Arabic	1745	MAIN		4	0	0	0	1	0	1		2	1	0	0
B03	Arabic	1785	MAIN		4	0	0	1	1	0	0		2	1	0	0
B03	Arabic	1809	MAIN		3	0	0	0	2	0	1		2	1	0	0
B03	Arabic	2160	MAIN		4	0	0	2	0	0	0		2	1	0	0
B03	Arabic	2392	MAIN		4	0	0	1	1	0	0		3	0	0	0
B03	Arabic	2574	MAIN		3	0	0	0	1	0	2		3	0	0	0
B03	Arabic	2712	MAIN		2	0	0	2	1	1	0		3	0	0	0
B03	Arabic	3279	MAIN		2	0	0	0	2	0	2		3	0	0	0
B03	Arabic	3550	MAIN		3	0	0	1	2	0	0		3	0	0	0
B03	Arabic	3804	MAIN		3	1	0	0	0	0	2		3	0	0	0
B03	Arabic	3996	MAIN		3	0	0	1	0	0	2		2	0	0	1
B03	Arabic	4091	MAIN		1	1	1	0	3	0	0		1	2	0	0
B03	Arabic	4195	MAIN		0	0	0	0	5	0	1		2	1	0	0
B03	Arabic	4290	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	Arabic	4548	MAIN		1	1	0	1	3	0	0		1	2	0	0
B03	Arabic	4866	MAIN		2	1	0	2	1	0	0		2	1	0	0
B03	Arabic	4874	MAIN		1	0	0	0	4	0	1		1	2	0	0
B03	Arabic	4903	MAIN		1	0	0	1	4	0	0		1	2	0	0
B03	Arabic	5122	MAIN		2	0	1	0	3	0	0		1	2	0	0
B03	Arabic	5177	MAIN		0	0	0	2	4	0	0		1	2	0	0
B03	Arabic	5187	MAIN		1	1	0	0	3	0	1		1	2	0	0
B03	Arabic	5237	MAIN		0	0	0	3	1	0	2		2	1	0	0
B03	Arabic	5246	MAIN		3	0	0	0	2	0	1		2	1	0	0
B03	Arabic	5333	MAIN		3	0	0	0	2	0	1		2	1	0	0
B03	Arabic	5436	MAIN		3	0	0	1	1	0	1		1	1	0	1
B03	Arabic	5449	MAIN		0	2	0	1	3	0	0		2	1	0	0
B03	Arabic	5571	MAIN		4	0	0	1	1	0	0		3	0	0	0
B03	Arabic	5593	MAIN		0	1	1	1	2	0	1		2	1	0	0
B03	Arabic	5616	MAIN		1	0	0	1	4	0	0		2	1	0	0
B03	Arabic	5640	MAIN		4	0	0	0	1	0	1		2	1	0	0
B03	Arabic	5670	MAIN		0	1	0	1	4	0	0		1	2	0	0
B03	Arabic	5684	MAIN		0	1	0	0	4	0	1		2	1	0	0
B03	Arabic	5699	MAIN		2	0	0	1	3	0	0		2	1	0	0
B03	Arabic	5701	MAIN		2	0	0	0	3	0	1		2	1	0	0
B03	Arabic	5704	MAIN		3	0	0	1	1	0	1		3	0	0	0
B03	Arabic	5746	MAIN		1	1	0	1	2	0	1		1	2	0	0
B03	Arabic	5792	MAIN		1	0	0	1	2	1	1		1	1	0	1
B03	Arabic	5840	MAIN		0	3	0	0	2	0	1		2	1	0	0
B03	Arabic	6019	MAIN		1	1	0	0	3	0	1		1	2	0	0
B03	Arabic	6022	MAIN		0	2	0	1	3	0	0		3	0	0	0
B03	Arabic	6062	MAIN		1	1	0	1	2	0	1		2	0	0	1
B03	Arabic	6108	MAIN		0	1	0	0	3	1	1		2	1	0	0
B03	Arabic	6143	MAIN		2	0	0	0	3	0	1		2	1	0	0
B03	Arabic	6306	MAIN		0	1	0	0	4	0	1		1	2	0	0
B03	Arabic	6307	MAIN		0	2	0	0	3	0	1		1	2	0	0
B03	Arabic	6336	MAIN		0	0	0	0	5	0	1		1	2	0	0
B03	Arabic	6370	MAIN		0	1	0	0	4	0	1		2	1	0	0
B03	Arabic	6447	MAIN		0	0	0	0	4	0	2		2	0	0	1
B03	Arabic	6473	MAIN		0	2	0	1	3	0	0		2	1	0	0
B03	Arabic	6597	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	Arabic	6639	MAIN		2	1	0	2	0	0	1		2	1	0	0
B03	Arabic	6739	MAIN		2	0	0	0	3	0	1		3	0	0	0
B03	Arabic	6767	MAIN		2	0	0	1	2	0	1		2	1	0	0
B03	Arabic	6862	MAIN		2	1	0	0	2	0	1		3	0	0	0
B03	Arabic	6880	MAIN		2	1	0	0	2	0	1		2	1	0	0
B03	Arabic	7001	MAIN		1	0	0	0	4	0	1		1	1	0	1
B03	Arabic	7039	MAIN		1	1	0	0	2	0	2		1	1	0	1
B03	Arabic	7275	MAIN		1	0	0	0	3	0	2		0	2	0	1
B03	Arabic	7481	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	Arabic	7576	MAIN		1	0	0	0	4	0	1		1	2	0	0
B03	Arabic	7810	MAIN		0	1	0	1	4	0	0		1	2	0	0
B03	Arabic	7901	MAIN		0	3	0	1	1	0	1		1	1	0	1
B03	Arabic	8637	MAIN		0	2	0	2	2	0	0		1	2	0	0
B03	Arabic	8987	MAIN		0	1	0	1	4	0	0		1	2	0	0
B03	Arabic	9315	MAIN		0	1	0	0	4	0	1		1	2	0	0
B03	Arabic	9528	MAIN		1	0	0	1	3	0	1		1	1	0	1
B03	Arabic	9542	MAIN		1	0	1	2	2	0	0		3	0	0	0
B03	Arabic	9725	MAIN		1	0	0	0	4	0	1		3	0	0	0
B03	Arabic	10300	MAIN		0	0	0	0	3	0	3		0	1	0	2
B03	Arabic	10376	MAIN		0	0	0	0	3	0	3		1	1	0	1
B03	Arabic	10547	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	Arabic	10718	MAIN		0	0	0	1	4	0	1		1	2	0	0
B03	Arabic	10726	MAIN		0	1	0	1	4	0	0		1	2	0	0
B03	Arabic	10825	MAIN		1	1	0	1	3	0	0		1	2	0	0
B03	Arabic	11251	MAIN		4	0	0	0	1	0	1		3	0	0	0
B03	Arabic	11528	MAIN		2	0	0	1	3	0	0		1	2	0	0
B03	Arabic	11590	MAIN		3	0	0	0	2	0	1		2	1	0	0
B03	Arabic	12084	MAIN		1	0	0	0	2	1	2		1	1	0	1
B03	Arabic	12382	MAIN		0	1	1	1	3	0	0		2	1	0	0
B03	Arabic	12632	MAIN		2	0	0	1	3	0	0		2	1	0	0
B03	Arabic	13578	MAIN		0	2	0	1	3	0	0		1	2	0	0
B03	Arabic	13700	MAIN		1	1	0	0	3	0	1		1	2	0	0
B03	Arabic	13821	MAIN		0	2	0	0	3	0	1		1	2	0	0
B03	Arabic	14135	MAIN		0	3	0	1	2	0	0		2	1	0	0
B03	Arabic	14521	MAIN		2	1	0	1	2	0	0		3	0	0	0
B03	Arabic	36321	MAIN		0	3	0	1	2	0	0		1	2	0	0
B03	Arabic	38704	MAIN		0	1	1	1	3	0	0		1	2	0	0
B03	Arabic	39807	MAIN		2	0	0	1	3	0	0		2	1	0	0
B03	Arabic	40429	MAIN		0	0	0	0	3	1	2		0	2	0	1
B03	Arabic	40722	MAIN		1	1	0	0	3	0	1		2	1	0	0
B03	Arabic	40986	MAIN		2	0	0	2	2	0	0		2	1	0	0
B03	Arabic	41266	MAIN		0	0	0	1	3	1	1		1	1	0	1
B03	Arabic	41398	MAIN		0	1	0	2	3	0	0		1	2	0	0
B03	Arabic	43772	MAIN		0	0	0	1	4	0	1		0	2	0	1
B03	Arabic	44148	MAIN		1	0	0	0	3	0	2		2	1	0	0
B03	French	105	MAIN		0	1	0	1	4	0	0		2	1	0	0
B03	French	116	MAIN		2	0	0	0	3	0	1		2	1	0	0
B03	French	124	MAIN		3	1	0	1	1	0	0		3	0	0	0
B03	French	134	MAIN		0	0	0	0	4	0	2		1	0	0	2
B03	French	142	MAIN		1	0	0	0	2	0	3		2	0	0	1
B03	French	149	MAIN		0	0	2	1	3	0	0		1	2	0	0
B03	French	155	MAIN		3	0	0	1	2	0	0		3	0	0	0
B03	French	157	MAIN		1	1	0	2	1	0	1		1	2	0	0
B03	French	161	MAIN		4	0	0	1	1	0	0		2	1	0	0
B03	French	165	MAIN		3	0	0	2	0	0	1		3	0	0	0
B03	French	167	MAIN		2	0	0	1	1	0	2		0	1	0	2
B03	French	175	MAIN		0	0	0	1	5	0	0		1	2	0	0
B03	French	181	MAIN		1	2	0	0	3	0	0		2	1	0	0
B03	French	187	MAIN		4	0	0	0	0	0	2		2	0	0	1
B03	French	194	MAIN		0	3	0	1	2	0	0		2	1	0	0
B03	French	197	MAIN		0	2	0	3	1	0	0		3	0	0	0
B03	French	201	MAIN		0	0	0	0	3	1	2		2	0	0	1
B03	French	202	MAIN		4	0	0	1	1	0	0		3	0	0	0
B03	French	240	MAIN		5	1	0	0	0	0	0		3	0	0	0
B03	French	248	MAIN		3	1	0	1	1	0	0		3	0	0	0
B03	French	253	MAIN		0	3	0	0	2	0	1		2	1	0	0
B03	French	255	MAIN		2	1	0	0	2	0	1		3	0	0	0
B03	French	262	MAIN		3	1	0	0	1	0	1		3	0	0	0
B03	French	270	MAIN		0	0	0	2	2	0	2		1	1	0	1
B03	French	283	MAIN		4	0	0	0	2	0	0		3	0	0	0
B03	French	310	MAIN		0	0	0	0	2	2	2		1	0	1	1
B03	French	315	MAIN		0	0	0	1	2	2	1		1	0	1	1
B03	French	319	MAIN		3	1	0	1	1	0	0		3	0	0	0
B03	French	332	MAIN		0	0	0	0	2	2	2		1	0	1	1
B03	French	334	MAIN		3	0	0	0	2	0	1		3	0	0	0
B03	French	349	MAIN		0	0	0	1	4	0	1		2	0	0	1
B03	French	616	MAIN		3	0	1	0	1	0	1		3	0	0	0
B03	French	626	MAIN		1	2	0	1	1	0	1		2	1	0	0
B03	French	637	MAIN		0	3	0	1	1	0	1		1	1	0	1
B03	French	645	MAIN		1	0	0	1	2	0	2		2	0	0	1
B03	French	671	MAIN		0	0	0	1	3	0	2		2	0	0	1
B03	French	686	MAIN		1	0	0	0	0	4	1		1	0	2	0
B03	French	699	MAIN		1	3	0	1	1	0	0		2	1	0	0
B03	French	707	MAIN		0	2	0	1	3	0	0		2	1	0	0
B03	French	708	MAIN		0	1	0	1	4	0	0		2	1	0	0
B03	French	712	MAIN		1	3	0	1	1	0	0		2	1	0	0
B03	French	719	MAIN		1	3	0	0	1	0	1		1	2	0	0
B03	French	764	MAIN		0	2	0	1	2	0	1		1	1	0	1
B03	French	775	MAIN		2	0	1	0	3	0	0		2	1	0	0
B03	French	777	MAIN		1	2	0	1	2	0	0		2	1	0	0
B03	French	861	MAIN		0	3	0	0	2	0	1		1	2	0	0
B03	French	955	MAIN		4	0	0	1	1	0	0		2	1	0	0
B03	French	988	MAIN		1	2	0	0	2	0	1		2	1	0	0
B03	French	996	MAIN		0	0	0	0	2	2	2		0	1	1	1
B03	French	1022	MAIN		1	2	0	1	2	0	0		2	1	0	0
B03	French	1101	MAIN		1	2	0	1	2	0	0		3	0	0	0
B03	French	1131	MAIN		0	3	0	0	1	0	2		2	1	0	0
B03	French	1146	MAIN		1	0	0	1	3	0	1		0	2	0	1
B03	French	1151	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	French	1154	MAIN		1	1	0	0	2	0	2		0	2	0	1
B03	French	1161	MAIN		1	2	0	1	2	0	0		3	0	0	0
B03	French	1162	MAIN		2	1	0	0	2	0	1		2	0	0	1
B03	French	1164	MAIN		2	0	0	0	3	0	1		3	0	0	0
B03	French	1166	MAIN		1	0	0	0	3	0	2		2	0	0	1
B03	French	1168	MAIN		1	1	0	0	4	0	0		3	0	0	0
B03	French	1176	MAIN		1	0	0	1	3	0	1		2	1	0	0
B03	French	1177	MAIN		1	2	0	2	1	0	0		2	1	0	0
B03	French	1178	MAIN		2	0	0	1	3	0	0		2	1	0	0
B03	French	1181	MAIN		3	0	0	0	2	1	0		2	0	1	0
B03	French	1184	MAIN		1	0	1	1	3	0	0		3	0	0	0
B03	French	1190	MAIN		2	0	0	4	0	0	0		2	1	0	0
B03	French	1193	MAIN		1	0	0	1	1	2	1		1	0	1	1
B03	French	1196	MAIN		2	1	0	0	2	0	1		2	0	0	1
B03	French	1199	MAIN		2	0	0	1	2	0	1		2	0	0	1
B03	French	1201	MAIN		1	1	0	0	2	0	2		0	1	0	2
B03	French	1202	MAIN		0	2	1	0	3	0	0		2	1	0	0
B03	French	1204	MAIN		0	3	0	1	2	0	0		2	1	0	0
B03	French	1208	MAIN		2	0	0	0	2	1	1		2	0	0	1
B03	French	1210	MAIN		4	1	0	1	0	0	0		3	0	0	0
B03	French	1211	MAIN		2	1	0	1	2	0	0		2	1	0	0
B03	French	1213	MAIN		2	0	0	3	1	0	0		3	0	0	0
B03	French	1216	MAIN		0	0	0	0	5	0	1		1	1	0	1
B03	French	1219	MAIN		3	0	0	2	1	0	0		2	1	0	0
B03	French	1222	MAIN		1	0	0	1	2	2	0		2	0	1	0
B03	French	1223	MAIN		0	0	0	0	3	0	3		1	0	1	1
B03	French	1230	MAIN		3	0	0	0	2	0	1		1	1	0	1
B03	French	1233	MAIN		1	0	0	1	4	0	0		2	1	0	0
B03	French	1234	MAIN		0	0	0	0	4	0	2		0	2	0	1
B03	French	1235	MAIN		0	3	0	1	2	0	0		0	3	0	0
B03	French	1236	MAIN		2	1	0	1	2	0	0		2	1	0	0
B03	French	1246	MAIN		1	1	0	0	2	0	2		0	1	0	2
B03	French	1250	MAIN		4	0	0	1	1	0	0		3	0	0	0
B03	French	1257	MAIN		1	0	0	1	2	0	2		1	1	0	1
B03	French	1258	MAIN		4	0	0	0	1	0	1		2	1	0	0
B03	French	1261	MAIN		1	2	1	1	1	0	0		0	3	0	0
B03	French	1264	MAIN		0	0	0	1	4	0	1		0	1	0	2
B03	French	1268	MAIN		2	1	1	0	1	0	1		3	0	0	0
B03	French	1271	MAIN		4	1	0	1	0	0	0		3	0	0	0
B03	French	1280	MAIN		2	0	0	0	4	0	0		1	2	0	0
B03	French	1286	MAIN		1	0	0	1	3	0	1		1	1	0	1
B03	French	1288	MAIN		0	0	0	0	4	2	0		1	1	1	0
B03	French	1289	MAIN		2	0	0	1	3	0	0		2	1	0	0
B03	French	1294	MAIN		2	0	0	1	2	1	0		1	2	0	0
B03	French	1295	MAIN		4	0	0	0	1	0	1		3	0	0	0
B03	French	1298	MAIN		1	2	0	0	3	0	0		1	2	0	0
B03	French	1354	MAIN		1	2	0	1	2	0	0		1	2	0	0
B03	French	1376	MAIN		4	0	0	0	0	0	2		2	0	0	1
B03	French	1428	MAIN		0	2	0	2	2	0	0		1	2	0	0
B03	French	1444	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	French	1446	MAIN		0	1	0	1	4	0	0		1	2	0	0
B03	French	1451	MAIN		0	3	0	0	2	0	1		2	1	0	0
B03	French	1473	MAIN		3	0	0	2	0	1	0		2	1	0	0
B03	French	1504	MAIN		2	0	0	2	1	0	1		2	0	0	1
B03	French	1529	MAIN		2	1	0	0	3	0	0		1	2	0	0
B03	French	1534	MAIN		0	3	0	0	1	0	2		1	1	0	1
B03	French	1547	MAIN		1	3	0	1	1	0	0		1	2	0	0
B03	French	1580	MAIN		2	2	0	1	0	0	1		2	0	0	1
B03	French	1596	MAIN		0	3	0	1	2	0	0		2	1	0	0
B03	French	1597	MAIN		1	3	0	1	1	0	0		2	1	0	0
B03	French	1600	MAIN		0	2	0	0	3	0	1		2	1	0	0
B03	French	1624	MAIN		1	3	0	0	1	0	1		2	1	0	0
B03	French	1700	MAIN		2	1	0	1	2	0	0		2	1	0	0
B03	French	1732	MAIN		2	0	0	1	3	0	0		2	1	0	0
B03	French	1737	MAIN		0	3	0	1	2	0	0		2	1	0	0
B03	French	1763	MAIN		1	0	0	0	3	0	2		2	1	0	0
B03	French	1786	MAIN		2	0	0	0	3	0	1		3	0	0	0
B03	French	1808	MAIN		2	0	0	1	3	0	0		2	1	0	0
B03	French	1813	MAIN		3	0	0	0	3	0	0		3	0	0	0
B03	French	1814	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	French	1845	MAIN		4	0	0	1	1	0	0		3	0	0	0
B03	French	1849	MAIN		1	0	0	1	3	0	1		0	2	0	1
B03	French	1856	MAIN		3	0	0	1	1	0	1		2	0	0	1
B03	French	1868	MAIN		2	0	0	1	3	0	0		2	1	0	0
B03	French	1891	MAIN		1	3	0	1	1	0	0		0	3	0	0
B03	French	1892	MAIN		4	0	0	0	1	0	1		3	0	0	0
B03	French	1964	MAIN		4	0	0	0	1	0	1		3	0	0	0
B03	French	1979	MAIN		5	0	0	0	0	0	1		3	0	0	0
B03	French	2017	MAIN		3	0	1	2	0	0	0		3	0	0	0
B03	French	2021	MAIN		0	1	0	1	3	0	1		0	2	0	1
B03	French	2090	MAIN		0	3	0	1	2	0	0		2	1	0	0
B03	French	2097	MAIN		3	0	0	1	2	0	0		3	0	0	0
B03	French	2187	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	French	3055	MAIN		1	0	0	2	2	1	0		3	0	0	0
B03	French	3070	MAIN		2	0	0	2	2	0	0		3	0	0	0
B03	French	3135	MAIN		0	2	0	1	2	0	1		1	1	0	1
B03	French	3250	MAIN		2	0	0	0	2	1	1		1	1	0	1
B03	French	3427	MAIN		1	2	0	1	1	0	1		0	1	0	2
B03	French	3494	MAIN		1	3	0	1	1	0	0		1	2	0	0
B03	French	3581	MAIN		3	0	0	1	2	0	0		2	1	0	0
B03	French	3608	MAIN		3	0	0	1	2	0	0		0	3	0	0
B03	French	3625	MAIN		2	0	0	1	3	0	0		1	2	0	0
B03	French	3689	MAIN		1	1	0	1	3	0	0		1	2	0	0
B03	French	3722	MAIN		0	3	0	0	2	0	1		1	2	0	0
B03	French	4045	MAIN		0	0	0	0	5	0	1		2	1	0	0
B03	French	4196	MAIN		1	0	0	1	4	0	0		1	2	0	0
B03	French	4384	MAIN		1	0	0	1	4	0	0		1	2	0	0
B03	French	4547	MAIN		1	0	0	3	1	0	1		1	1	0	1
B03	French	4804	MAIN		0	1	0	1	3	0	1		0	3	0	0
B03	French	5019	MAIN		1	1	0	1	1	0	2		0	2	0	1
B03	French	5021	MAIN		2	1	0	1	1	0	1		1	2	0	0
B03	French	5195	MAIN		0	2	0	2	2	0	0		2	1	0	0
B03	French	5196	MAIN		0	0	0	2	4	0	0		1	2	0	0
B03	French	5288	MAIN		1	0	0	1	4	0	0		1	2	0	0
B03	French	5521	MAIN		0	0	0	0	6	0	0		1	2	0	0
B03	French	5726	MAIN		0	1	1	1	3	0	0		0	3	0	0
B03	French	5808	MAIN		0	0	0	1	4	1	0		1	1	1	0
B03	French	5861	MAIN		0	2	0	1	3	0	0		2	1	0	0
B03	French	6087	MAIN		1	3	0	1	1	0	0		2	1	0	0
B03	French	6606	MAIN		2	1	0	0	2	0	1		3	0	0	0
B03	French	6918	MAIN		3	0	0	0	2	0	1		2	1	0	0
B03	French	6919	MAIN		0	0	0	0	5	0	1		1	2	0	0
B03	French	7454	MAIN		0	0	0	1	5	0	0		1	2	0	0
B03	French	7507	MAIN		0	1	0	1	4	0	0		1	2	0	0
B03	French	7595	MAIN		0	3	0	0	2	0	1		0	2	0	1
B03	French	8012	MAIN		3	1	0	0	1	0	1		0	2	0	1
B03	French	8434	MAIN		0	3	0	1	1	0	1		0	2	0	1
B03	French	8565	MAIN		2	0	0	1	2	0	1		0	2	0	1
B03	French	8620	MAIN		0	0	0	1	5	0	0		1	1	1	0
B03	French	8743	MAIN		0	0	0	1	5	0	0		0	2	1	0
B03	French	8802	MAIN		0	2	0	0	2	1	1		1	2	0	0
B03	French	8863	MAIN		0	2	0	1	3	0	0		1	2	0	0
B03	French	8882	MAIN		0	2	0	1	3	0	0		0	3	0	0
B03	French	9010	MAIN		1	1	0	1	3	0	0		1	2	0	0
B03	French	9349	MAIN		0	1	0	0	4	1	0		0	2	1	0
B03	French	9454	MAIN		1	2	0	0	3	0	0		0	3	0	0
B03	Hebrew	44	MAIN		3	0	0	1	2	0	0		3	0	0	0
B03	Hebrew	51	MAIN		1	0	0	1	3	1	0		2	0	1	0
B03	Hebrew	53	MAIN		4	0	0	0	1	0	1		2	1	0	0
B03	Hebrew	54	MAIN		3	0	0	1	2	0	0		3	0	0	0
B03	Hebrew	71	MAIN		4	0	0	1	1	0	0		3	0	0	0
B03	Hebrew	142	MAIN		4	0	0	1	1	0	0		3	0	0	0
B03	Hebrew	171	MAIN		3	0	0	0	1	0	2		2	0	0	1
B03	Hebrew	173	MAIN		3	0	0	2	0	0	1		2	0	0	1
